year,Ontario_demand,northwest,northeast,ottawa,east,toronto,essa,bruce,southwest,niagara,west
2004,153437275,8026642,12465401,11633400,9334885,50578053,8305927,328522,29978201,5387975,17375629
2005,156969047,7705584,12523545,11684593,9440228,52667157,8564702,414000,30767064,5494446,17569290
2006,151054660,6292287,12194645,11407117,9094560,51224608,8228440,457056,29586949,5410231,16686259
2007,152205120,5659881,12230943,11199118,9581430,52076598,8518320,669557,29363133,5556548,16467688
2008,148675727,5598905,12079256,11101271,9112280,50970560,8338299,590097,28448159,5178265,15898862
2009,139163544,4377446,10567576,11017059,8470100,49420638,8181837,525948,25877197,4669877,15002692
2010,142204783,4198243,10653747,9816081,8805876,51559010,8443847,574370,27728804,4958255,15156870
2011,141473805,4386189,10612268,9798695,8771343,51414676,8440514,714032,27695515,4705958,14420040
2012,141287009,4255038,10813005,9658760,8604630,51726903,8327065,706635,28173312,4656282,13820122
2013,140736784,4461528,11207472,8166726,9616360,51394654,8263822,551340,28262181,4481642,13864754
2014,139803825,4378806,11350185,7995911,9332547,51489166,8125995,695989,28508613,4326491,13701829
2015,137011780,4153082,10928937,7889762,9105515,51199904,7965708,632278,27718920,4318164,13360309
2016,136989747,3988953,10821217,7543527,9153850,51362661,7852843,806566,27117536,4235194,13543766
2017,132090992,4114716,10383907,7343534,9091025,49208956,7787230,611369,26783659,3965201,13004663
2018,137436546,4459451,10653052,8999418,7956210,50703584,8586980,673011,27826112,4227239,13738470
